,mikata_inochi,teki_inochi
0,305091,64067
1,798030,93236
2,1162429,128841
3,1162429,128841
4,1162429,128841
5,2627436,719969
6,3505174,905240
7,4341942,1665791
8,4341942,1665791
9,5559663,2815587
10,5872744,3220222
11,6718201,3649382
12,7695047,4093790
13,8526453,4389099
14,8526453,4389099
15,8526453,4389099
16,8526453,4389099
17,11429644,3575393
18,12025674,4721323
19,12996295,5472979
20,12996295,5472979
21,12996295,5472979
22,12996295,5472979
23,15045717,4488862
24,15755952,4832579
25,16419743,5207012
26,17661709,5446279
27,17661709,5446279
28,18284720,5500441
29,19244808,4754490
30,19244808,4754490
31,20630040,5110765
32,22130004,4485012
33,23221242,4993401
34,24111110,5481241
35,24834445,5896530
36,24998319,6959407
37,24998319,6959407
38,26341982,8157103
39,26341982,8157103
40,26341982,8157103
41,29490189,5910882
42,30472236,6489574
43,31475143,7058899
44,31926271,7085952
45,33845687,5314464
46,34309660,5820135
47,34960616,6285476
48,35923999,7353443
49,35923999,7353443
50,37230220,8761124
51,37230220,8761124
52,38716791,9762812
53,39495367,10297180
54,40645720,10974739
55,40645720,10974739
56,40645720,10974739
57,41104823,11355306
58,44081681,8995621
59,44208435,8995621
60,45026932,9205376
61,45721473,10049989
62,46747887,10463312
63,48207347,10717798
64,49369502,10931946
65,50313929,11139280
66,50739285,11139280
67,50739285,11139280
68,53618012,8465852
69,54428927,8821773
70,55318262,9137242
71,55914276,9557629
72,56475746,9727749
73,56475746,9727749
74,57483267,10480571
75,58349424,11043116
76,58635242,11043116
77,58680064,11043116
78,58680064,11043116
79,61554037,8527024
